Title,Release Date,Description,Release Year
Pochi and Nyaa,2003-12-24,"A cutesy falling-block puzzle arcade game in the style of Puyo Puyo, made by a team of ex-Compile developers. It is notable for being the last third-party game released for Neo Geo arcade hardware prior to its official discontinuation.",2003
Xenosaga Freaks,2004-04-28,A side-entry in the Xenosaga franchise. Never released outside Japan.,2004
Wacky Races,2000-06-09,Wacky Races is a racing game adaptation of the Hanna-Barbara cartoon series.,2000
Steel Dragon EX,2003-10-23,"Along with the Warashi shoot-'em-up Steel Dragon (Shienryu), this package includes a new 2.5D sequel known as Steel Dragon Evolution (Shienryu Explosion).",2003
Raging Blades,2002-05-30,,2002
Street Fighter III: 3rd Strike,1999-05-12,"The third and final iteration of Street Fighter III, including a wealth of gameplay and design revisions while introducing several new combatants.",1999
Street Fighter Alpha 3,1998-06-29,"The last and largest installment of the Street Fighter Alpha trilogy adds even more characters while adding three unique ""fighting styles"" (each with special abilities and traits). GO FOR BROKE!",1998
Mary-Kate and Ashley: Sweet 16: Licensed to Drive,2002-11-20,Like Mario Party but bad (and with an inappropriate name)!,2002
Dai Senryaku VII: Modern Military Tactics,2003-05-29,A turn-based modern military tactics game released for the Japanese Xbox in 2003 and in the US in early 2005. It was later released for PS2 and PSP.,2003
Donkey Xote,2008-11-14,Donkey Xote is a multi-platform game.,2008
The Table Game,2001-05-31,This collection of board games is the first installment in the Simple 2000 series.,2001
Driver: Parallel Lines,2006-03-14,"A standalone game in the Driver series set in New York City between two time periods, an up-and-coming wheelman is released from prison and enacts revenge on those who framed him several years ago.",2006
GoldenEye: Rogue Agent,2004-11-22,"Going where no previous James Bond game has been, GoldenEye: Rogue Agent lets players experience life as a high-rolling, cold-hearted villain and live on the dark side of the Bond universe. It bears no relation to the 1997 game GoldenEye 007.",2004
Terminator 3: Rise of the Machines,2003-11-11,"Terminator 3: Rise of the Machines is a first-person shooter video game based on the film of the same title, with elements of hand-to-hand combat in the third-person perspective. It was developed by Black Ops Entertainment, with assistance work done by other Atari-owned subsidiaries. The game was published by Atari for PlayStation 2 and Xbox in 2003.",2003
Crazy Frog Racer,2005-12-09,A racing game centering around the Crazy Frog character.,2005
Zombie Hunters 2,2006-06-27,"An upgraded version of The OneeChanbara 2, featuring more playable characters. Known as The OneeChampon ~ The Oneechan 2 Special Chapter ~ in Japan.",2006
Curry House CoCo Ichibanya: Kyō mo Genki da! Curry ga Umai!!,2004-05-20,"Curry House CoCo Ichibanya: Kyō mo Genki da! Curry ga Umai!! is a restaurant management simulator, set in the Japanese curry restaurant chain CoCo Ichibanya.",2004
The Fairly OddParents: Shadow Showdown,2004-09-07,"Shadow Showdown is a game based off of the Nicktoons animated television show The Fairly OddParents, and the sequel to Breakin' Da Rules.",2004
The Sword of Etheria,2005-06-30,"The Sword of Etheria is a hack-and-slash action RPG game for the PlayStation 2, released in Japan in 2005 and 2006 in Europe.",2005
Virtual Pool Tournament Edition,2005-05-11,,2005
Tom Clancy's Ghost Recon 2 - 2007: First Contact,2004-11-16,"Sequel to Tom Clancy's Ghost Recon; part one of the Ghost Recon 2 ""trilogy"".",2004
Vietcong: Purple Haze,2004-01-28,"Purple Haze takes you into the violence and danger that was Vietnam. Choose from six new weapons, attach bayonets to your rifle, and be on the lookout for attacks from fighter jets & B-52 bombers.",2004
Peter Jackson's King Kong: The Official Game of the Movie,2005-11-21,"When the beautiful Ann Darrow is kidnapped by the inhabitants of Skull Island, Jack and his team must fight their way through the island's prehistoric inhabitants and hostile environments, solving puzzles and fending off attackers, all in search of her. But unfortunately for them, so is a giant ape.",2005
Need for Speed: Most Wanted,2005-11-11,"Cruise the streets of Rockport City, keep away from the cops, and defeat the wily Razor Callahan in this open-street racing game from EA Black Box.",2005
FantaVision,2000-03-04,FantaVision is a PlayStation 2 launch title that is a puzzle game based on quick color recognition.,2000
Metal Slug 3,2000-06-01,"The third game in the Metal Slug series, first released to arcades in 2000 and later ported to many home consoles, PCs, and mobile devices.",2000
Panic!,1993-04-23,Fight a computer virus by hitting various switches.,1993
Ratatouille,2007-06-26,Ratatouille is a game based on the film of the same name.,2007
Rhapsody III: Memories of Marl Kingdom,2000-12-21,The third game in the Marl Oukoku series.,2000
Maken Shao: Demon Sword,2001-06-07,"Maken Shao is a Playstation 2 remake of Maken X, a game released on the Dreamcast. Both games were developed in-house by Atlus.",2001
The Lord of the Rings: Aragorn's Quest,2010-09-14,Family friendly Lord of the Rings game focusing on Aragorn.,2010
Super Shanghai 2005,2004-11-25,"One of the few entries in the long-running mahjong solitaire series to not be published by Activision nor SUNSOFT, Super Shanghai 2005 includes three unique variants of the traditional game and a unique dual-analog control scheme.",2004
Cool Boarders: Code Alien,2000-12-21,The final entry in the Cool Boarders series developed for Playstation 2.,2000
Energy Airforce: aimStrike!,2003-10-02,The second title in Taito's military flight sim series.,2003
Energy Airforce,2002-09-26,A realistic flight simulator where the player can pilot many real-life military aircraft.,2002
The Space Sheriff Spirits,2006-05-26,Metal Hero crossover action game.,2006
Cubix: Robots for Everyone Showdown,2003-06-02,A futuristic themed 3D action adventure game based on the Cubix: Robots for Everyone TV series.,2003
Gambler Densetsu Tetsuya,2001-06-21,"A riichi mahjong game for the PS2, based on the anime of the same name. Following the main story, it features an elaborate system for cheating against your opponents.",2001
The Sims 2: Pets,2006-10-17,"Players can get to know new animal pals in this expansion pack for the PC, or stand-alone title for the console and handheld systems.",2006
The Sims 2: Pets,2006-10-18,The Sims 2: Pets is the standalone console version of The Sims 2: Pets.,2006
Tales of Symphonia,2004-07-13,Tales of Symphonia is a cel-shaded action RPG and is another game in Namco's Tales series. It expands upon the series' battle system and emphasizes on relationships with other characters by the decisions you make throughout the game.,2004
Alone in the Dark: The New Nightmare,2001-05-08,"Alone in the Dark: The New Nightmare is a survival horror game developed by Darkworks studios and published by Infogrames. The game takes place on 'Shadow Island', and features two main protagonists: Aline Cedrac and Edward Carnby.",2001
Metal Slug,2006-06-29,"This is the 3D version of Metal Slug, confusingly called Metal Slug.",2006
Predator: Concrete Jungle,2004-04-28,In the game you play as a Predator in 3rd person perspective. The Scarface hunter is disgraced because humans have stolen his technology and you must hunt them down and regain your gear and honor.,2004
Guitar Hero: Van Halen,2009-12-22,"The third band-specific Guitar Hero offering from Activision, Guitar Hero: Van Halen allows you to play as America's greatest hard rock band.",2009
Spy Hunter: Nowhere to Run,2006-09-05,Spy Hunter: Nowhere to Run is the third game in the vehicle-combat franchise. Nowhere to Run is the first game to add on-foot missions to the series.,2006
The Grim Adventures of Billy & Mandy,2006-09-25,The Grim Adventures of Billy &amp; Mandy is a 3D arena fighting game featuring the characters of the Cartoon Network television show.,2006
SSX 3,2003-10-20,"The third game of the SSX franchise continues the tradition of over-the-top Uber Tricks, super stylistic characters, and introduces the ""One Mountain"" concept.",2003
RTL Skispringen 2003,2002-12-15,A german made ski-jumping game.,2002
Puzzle Quest: Challenge of the Warlords,2007-03-16,"Combining the addictive casual gameplay of puzzle game Bejeweled with a fantasy role-playing game, Puzzle Quest was an unexpected hit on every platform it touched.",2007
Everblue,2001-08-09,"Everblue is the a diving simulation game that follows a man named leo as he explores the ocean depths and discovers marine life. It was released only in Europe and Japan, it never saw a NA release.",2001
Jonny Moseley Mad Trix,2001-12-26,A skiing game for both the Playstation 2 and Game Boy Advance.,2001
VeggieTales: LarryBoy and the Bad Apple,2006-08-08,An action-platformer based on the VeggieTales video of the same name.,2006
Just Cause,2006-09-22,"Just Cause is an open-world action game that has you play as Rico Rodriguez, a black-ops agent helping guerrillas and cartels to overthrow the government of San Esperito.",2006
Mercenaries 2: World in Flames,2008-08-31,"The sequel to the critically acclaimed Mercenaries: Playground of Destruction. Now set in war-torn Venezuela, the player again takes on contracts for various warring factions on a quest for payback.",2008
Rollercoaster World,2003-07-24,"Create, test and ride seven types of roller coasters in Rollercoaster World.",2003
Finny the Fish & the Seven Waters,2004-07-15,"Finny the Fish & the Seven Waters is a PS2 game where the player plays as Finny the Fish and must help him save the land from great danger. Player will make their way through perilous waters, fight enemies, dodge fishermen and eat up lots of fish food to succeed!",2004
Disney's Chicken Little: Ace in Action,2006-11-09,Disney's Chicken Little: Ace in Action is a follow-up adventure game to Chicken Little movie.,2006
Ide Yosuke no Mahjong Kazoku 2,2000-10-12,A sequel to the 1995 PS1 mahjong game Ide Yosuke no Mahjong Kazoku.,2000
The Polar Express,2004-11-02,A game adaptation of the 2004 animation film about a magical train that takes its guests to the North Pole every Christmas Eve.,2004
Cheggers Party Quiz,2007-10-26,"Get the family together and take part in Cheggers Party Quiz, loaded with thousands of questions on entertainment subjects.",2007
Ouran High School Host Club,2007-04-19,Visual novel based on the manga/anime series of the same name. Released for PlayStation 2 and for Nintendo DS.,2007
Marie & Elie no Atelier: Salberg no Renkinjutsushi 1-2,2001-11-15,Enhanced ports of both Atelier Marie and Elie released by Kool Kizz for the Dreamcast and later a reworked version for the PlayStation 2 by Gust themselves.,2001
Mortal Kombat: Deadly Alliance,2002-11-16,"The fifth installment in the violent fighting game franchise and the first ""revival"" of the series, introducing multiple fighting styles for each character.",2002
Mahjong Sangokushi,2004-12-16,"A riichi mahjong game based on the Three Kingdoms period of ancient China, with a game engine and ""battle royale"" mode based on those from the Mahjong Haoh series.",2004
