Title,Release Date,Description,Release Year
Burnout Revenge,2005-09-13,"The fourth installment of the Burnout series of high-octane street racing games, focusing more on aggressive racing with new forms of car combat, including the ability to ram same-way traffic into other racers.",2005
Burnout 2: Point of Impact,2002-09-30,"The second installment of Criterion's Burnout series of street racing games, building on the high-octane racing while including a new puzzle mode where players stage spectacular car crashes.",2002
NHRA Championship Drag Racing,2005-09-14,,2005
Metal Gear Solid 2: Sons of Liberty,2001-11-13,"The follow-up to the 1998 blockbuster, Metal Gear Solid 2 blends tactical stealth and action. This sequel takes the action to an offshore oil cleanup facility seized by terrorists who are holding the President hostage. It helped sell the PS2, featuring advanced AI, physics and cover mechanics for its time, and one of the first postmodern narratives in gaming.",2001
Metal Gear Solid 3: Snake Eater,2004-11-17,"The third installment in the Metal Gear Solid franchise is swathed in the Cold War, and it's up to a strangely familiar soldier codenamed Naked Snake to keep the Soviet Union and the United States from all-out nuclear war.",2004
Metal Gear Solid 3: Subsistence,2005-12-22,"An updated version of Metal Gear Solid 3: Snake Eater containing several new features, most notably a third-person camera and an online mode.",2005
Metal Gear Solid 2: Substance,2002-11-05,"Metal Gear Solid 2: Substance is an updated version of Metal Gear Solid 2: Sons of Liberty containing the original game while adding hundreds of VR missions, a theatre mode and more. It was originally released on the Xbox and later made it onto PS2 and PC.",2002
Fatal Fury: Battle Archives Volume 1,2006-07-20,This compilation includes the first 4 games in the Fatal Fury series.,2006
Cabela's Big Game Hunter,2002-12-11,,2002
World Championship Paintball,2008-01-07,"A first-person paintball game for the PS2, published by THQ.",2008
Greg Hastings' Tournament Paintball MAX'D,2005-10-18,"A sequel to the 2004 first-person paintball game Greg Hastings' Tournament Paintball, featuring new tactical abilities and a map layout editor.",2005
NPPL Championship Paintball 2009,2008-11-18,A first-person paintball game and a successor to the Greg Hastings' Tournament Paintball series. It is the first paintball game released for seventh-generation consoles.,2008
MX Superfly Featuring Ricky Carmichael,2002-10-18,An entry in THQs MX series.,2002
Cabela's Dangerous Hunts 2,2005-11-16,A hunting game and sequel to the original Cabela's Dangerous Hunts.,2005
Top Spin,2003-10-28,"Top Spin is a realistic tennis simulator available for the Xbox, Playstation 2, and the PC.",2003
Hitman: Contracts,2004-04-20,"Hitman: Contracts is the third entry in the Hitman series. A wounded 47 seeks refuge in a shoddy apartment. As he floats in and out of consciousness, he recalls a number of his past missions.",2004
Enthusia Professional Racing,2005-03-17,"Enthusia is Konami's only attempt at a Gran Turismo and Forza Motorsport-like racing sim so far, and one that has remained somewhat obscure due to being released just after Gran Turismo 4 and Forza Motorsport (2005).",2005
Rule of Rose,2006-01-19,"Rule of Rose is a survival horror game set in 1930s England aboard an abandoned zeppelin. It is known for its controversial content, such as abusive violence and implied sexual themes towards its underage cast of characters.",2006
Dirge of Cerberus: Final Fantasy VII,2006-01-26,"Dirge Of Cerberus delves into the mysterious past of Vincent Valentine, with plenty of explosions.",2006
Quantum of Solace,2008-10-31,"Quantum of Solace is a first-person/third-person shooter based on the James Bond films Casino Royale and its sequel, Quantum of Solace.",2008
Fight Night 2004,2004-04-05,"Fight Night 2004 is a boxing game. It includes a career, exibition, and create a fighter modes. It also includes former and current fight in all weight divisions.",2004
Bully: Scholarship Edition,2008-03-04,"'Bully: Scholarship Edition' takes place at the fictional New England boarding school Bullworth Academy, and tells the story of mischievous 15-year-old Jimmy Hopkins as he goes through the hilarity and awkwardness of adolescence. Beat the jocks at dodge ball, play pranks on the preppies, save the nerds, kiss the girl.",2008
Knockout Kings 2001,2000-10-30,,2000
Knockout Kings 2002,2002-03-04,,2002
NCAA College Basketball 2K3,2002-12-02,"NCAA College Basketball 2K3 is an American college basketball video game released by Sega in December 2002 for the Xbox, PlayStation 2, and GameCube. It is the only game in the series that uses the ""College Basketball"" designation rather than ""College Hoops"". Former Duke Blue Devils guard Jay Williams is on the cover. NCAA College Basketball 2K3 is the only game in the series to appear on the GameCube.",2002
Pinball,2000-09-07,"Originally released in Japan as ""American Arcade"", Pinball is a PS2 game that simulates older electro-mechanical pinball tables with a nostalgic ""Americana"" theme.",2000
